Troqueles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una fila por troquel. Los campos geométricos alimentan etiquetas por repetición, desarrollo y validación de planchas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,Descripción,Clasificación,Forma,Código cliente,Código preprensa,Código proveedor,Ancho mm,Largo mm,Desarrollo cm,DESARROLLO TOTAL,Elongación %,Elongado,Ancho total troquel in,Largo total troquel in,Ancho etiqueta in,Largo etiqueta in,Ancho material in,Área etiqueta in²,Área troquel in²,Estructura,Formato,GAP AROUND,GAP AROUND,Montaje,Proveedor,Tensión,Tipo troquel,Uso convencional,Uso digital,Filas,DIENTES,Repeticiones,Estado,Activo,Observaciones
R0121-PPTPET,,,rectangulo,,,,177,"63,5","53,34",21,,,"14,19",21,"6,9685","2,5000",,"17,42","297,99",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,2,168,8,Bueno,Sí,
X0049-BW,,,especial,,,,100,135,"41,91","16,50",,,"12,19","16,5","3,9370","5,3150",,"20,93","201,14",,rollo,"0,185","1,850",,KOCHER,,flexo,Sí,No,3,132,3,Bueno,Sí,
X0048-BW,,,especial,,,,"43,8","37,5","37,465","14,75",,,"11,11","14,75","1,7244","1,4764",,"2,55","163,87",,rollo,"0,163","1,625",,KOCHER,,flexo,Sí,No,6,118,9,Bueno,Sí,
X0047-SG,,,especial,,,,165,109,"45,72",18,,,"13,24",18,"6,4961","4,2913",,"27,88","238,32",,rollo,"0,209","2,087",,KOCHER,,flexo,Sí,No,2,144,4,Bueno,Sí,
R0115-BW,,,rectangulo,,,,30,163,"35,56",14,,,"6,53",14,"1,1811","6,4173",,"7,58","91,42",,rollo,"0,583","5,827",,KOCHER,,flexo,Sí,No,5,112,2,Bueno,Sí,
R0113-BW,,,Cuadrado,,,,190,190,"40,005","15,75",,,"7,61","15,75","7,4803","7,4803",,"55,96","119,86",,rollo,"0,395","3,947",,KOCHER,,flexo,Sí,No,1,126,2,Bueno,Sí,
R0123-PPTPET,,,Rectangular,,,,"249,2",58,"37,465","14,75",,,"9,94","14,75","9,8110","2,2835",,"22,40","146,62",,rollo,"0,175","1,748",,KOCHER,,flexo,Sí,No,1,118,6,Bueno,Sí,
R0124-PPTPET,,,rectangulo,,,,"265,2",54,"40,005","15,75",,,"10,56","15,75","10,4409","2,1260",,"22,20","166,32",,rollo,"0,124","1,240",,KOCHER,,flexo,Sí,No,1,126,7,Bueno,Sí,
R0125-SG,,,rectangulo,,,,56,170,"35,56",14,,,"9,32",14,"2,2047","6,6929",,"14,76","130,48",,rollo,"0,307","3,071",,KOCHER,,flexo,Sí,No,4,112,2,Bueno,Sí,
R0126-BM,,,rectangulo,,,,50,"149,2","45,72",18,,,"10,47",18,"1,9685","5,8740",,"11,56","188,46",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,5,144,3,Bueno,Sí,
X0050-BW,,,especial,,,,37,"111,1","45,72",18,,,"9,49",18,"1,4567","4,3740",,"6,37","170,82",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,6,144,4,Bueno,Sí,
C0006-BW,,,circulo,,,,"93,6","93,6","40,005","15,75",,,"11,43","15,75","3,6850","3,6850",,"13,58","180,02",,rollo,"0,252","2,518",,KOCHER,,flexo,Sí,No,3,126,4,Bueno,Sí,
